1;Collectibles ;1;\N
12;Other;2;20081
13;Glassware;3;50693
14;Other;4;13
15;Other Countries;4;955
18;Other;5;2735
20;Other;5;2742
21;Other;6;2719
22;Other;5;2705
23;Other;5;1020
24;China & Dinnerware;3;18875
25;Other;4;24
26;Other Figurines;4;24
27;Art Pottery;3;18875
28;Other;3;1430
30;Other;3;717
31;Antique;3;386
32;Other;4;326
33;Other;3;940
34;Advertising;2;1
35;Other;4;13623
36;Soda;3;34
37;Other;5;35692
38;Other;5;13600
39;Gas & Oil;3;34
40;Other;4;39
41;Esso;5;156204
42;Other;6;35672
44;Cigarettes;3;593
48;Other Contemporary Images;4;14281
51;Autographs-Original;2;64482
52;Other;3;51
53;Other Autographed Items;4;27259
56;Hockey-Other;3;51
57;Autographs-Original;2;45100
58;Other;3;57
59;Other;4;32987
60;Television;3;57
61;Other;5;108726
63;Comics;2;1
64;Other;3;63
65;Platinum Age (1897-1937);3;63
66;Golden Age (1938-55);3;63
67;Other;4;66
68;Superhero;4;66
69;Crime;4;66
70;Horror & Sci-Fi;4;66
71;Funny Animal;4;66
73;Silver Age (1956-69);3;63
74;Other;4;73
75;Other;5;32723
76;Horror & Sci-Fi;4;73
77;Other;4;900
79;Newspaper Comics;3;63
80;Figurines;3;63
81;Kitchenware;3;13905
82;Other;4;81
83;Other;6;38140
84;Other;5;4049
86;Other;4;27
87;Fiesta: Vintage;4;24
88;Hummel, Goebel;4;24
89;McCoy;4;27
90;Rookwood;4;27
91;Shawnee;4;24
92;Lenox;4;24
93;Nippon;4;24
95;Royal Doulton;4;24
96;Roseville;4;27
97;Other;5;13779
99;Everything Else ;1;\N
101;Other;5;10915
103;Other;5;13804
104;Other;5;11126
105;Josef;4;156286
106;Wade Figurines;4;156286
107;Other;5;39594
108;Other;5;11636
113;Sewing (1930-Now);2;1
114;Other;3;113
115;Other;4;41192
116;Other;4;38060
117;Other;3;386
118;Other;3;562
124;Paper;2;1
125;Other;3;124
126;1960-Now;4;41187
127;Other;3;914
128;Other;3;3913
130;Other;4;1444
131;Magazines;3;479
132;Other;4;931
133;Other;3;593
134;United States;5;156389
135;Other;3;13956
136;Other;5;36033
137;Disneyana;2;1
138;Other;4;1369
139;Vintage (Pre-1968);3;137
140;Other;4;139
142;Plush Toys;4;1369
143;Other;5;38004
144;Posters, Prints & Lithos;4;1369
147;Other;5;576
148;Other;5;33850
150;Other;4;1409
152;Science Fiction & Horror;2;1
153;Other;3;152
154;Other;5;99966
155;Other;4;29493
156;X-Files;3;152
157;Other;4;1451
158;Other;3;966
162;Other;2;58058
164;CPUs, Processors;3;175673
165;Drives, Storage & Blank Media;2;58058
167;Other;3;165
169;Floppy, Zip & Jaz Drives;3;165
170;Other;3;3676
177;PC Laptops & Netbooks;3;175672
179;PC Desktops & All-In-Ones;3;171957
182;Other;3;18793
185;Web & Desktop Publishing;3;18793
187;Other;2;1249
196;Movie Memorabilia;2;45100
197;Other;3;196
198;Other;5;60301
200;Black & White;5;60325
201;Other;3;1424
204;Baseball-Other;3;24409
205;Basketball-Other;3;24409
206;Football-NFL;3;24409
208;Other;3;13877
209;Antique Western;4;4007
212;Cards;2;64482
213;Baseball;3;212
214;Basketball;3;212
215;Football;3;212
216;Hockey;3;212
217;Other;3;212
218;Other;4;19107
219;Other;3;868
220;Toys & Hobbies ;1;\N
222;Diecast & Toy Vehicles;2;220
223;Diecast-Modern Manufacture;4;19036
228;Vintage (Pre-1990);4;47225
229;Pre-1970;4;19073
230;Other;3;436
232;Other;4;1082
233;Games;2;220
234;Other;3;233
235;Other;4;2550
236;Hand Made;4;2571
237;Dolls & Bears ;1;\N
238;Dolls;2;237
239;Other;4;16000
241;Vintage (Pre-1970);5;45442
242;Contemporary;5;84639
243;Modern (1990-Now);5;20392
245;Figures;4;16000
246;Action Figures;2;220
248;Other;4;15949
249;Other;5;15957
250;Vintage (Pre-1967);4;15965
251;Other;5;2453
253;Coins: US;2;11116
255;Other;3;3444
256;Coins: World;2;11116
257;Other;3;256
258;Other;4;168689
259;Other;3;3452
260;Stamps ;1;\N
261;United States;2;260
262;Other;3;261
263;Other;3;65174
264;Other;3;352
265;Sheets;3;261
267;Books ;1;\N
268;Other;2;267
279;Children & Young Adults;2;267
